Tar,Item,Condition,Sentence,Target,Completion,Part,Cloze,Cloze_Balanced,Association_Noun,Association_Verb,Association_MainVerb
Wunde,16,D,"Rasch versteckt der Notarzt, der den Ohrring trägt,",die Wunde,mit fünf Stichen.,0,0,1,3.2,1.8,2
Hemd,17,A,"Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,",das Hemd,und die Hose.,0,0.75,1,6.4,1.5,6.9
Hemd,17,B,"Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,",das Hemd,und die Hose.,0,0.67,1,1.4,1.2,6.9
Hemd,17,C,"Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,",das Hemd,und die Hose.,0,0,1,6.4,1.5,1
Hemd,17,D,"Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,",das Hemd,und die Hose.,0,0,1,1.4,1.2,1
Auto,18,A,"Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat,",das Auto,und übergibt es an den Kunden.,1,0.58,0,7,3.5,6.3
Auto,18,B,"Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat,",das Auto,und übergibt es an den Kunden.,1,0.75,0,5,3.1,6.3
Auto,18,C,"Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat,",das Auto,und übergibt es an den Kunden.,1,0,0,7,3.5,1.1
Auto,18,D,"Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat,",das Auto,und übergibt es an den Kunden.,1,0,0,5,3.1,1.1
Teig,19,A,"Am Morgen knetet die Bäckerin, die den Kuchen backt,",den Teig,für das Brot.,2,1,1,6.9,6.9,6.6
Teig,19,B,"Am Morgen knetet die Bäckerin, die den Stammgast begrüßt,",den Teig,für das Brot.,2,1,1,1.5,1,6.6
Teig,19,C,"Am Morgen hört die Bäckerin, die den Kuchen backt,",den Teig,für das Brot.,2,0,1,6.9,6.9,1.2
Teig,19,D,"Am Morgen hört die Bäckerin, die den Stammgast begrüßt,",den Teig,für das Brot.,2,0,1,1.5,1,1.2
Steak,20,A,"Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet,",das Steak,und die Beilagen.,0,0.67,0,4.7,2.4,6.5
Steak,20,B,"Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht,",das Steak,und die Beilagen.,0,0.83,0,1.4,1.1,6.5
Steak,20,C,"Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet,",das Steak,und die Beilagen.,0,0,0,4.7,2.4,1.4
Steak,20,D,"Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht,",das Steak,und die Beilagen.,0,0,0,1.4,1.1,1.4
Feuer,21,A,"Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat,",das Feuer,und rennt weg.,0,0.58,0,6.6,1.5,6.8
Feuer,21,B,"Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist,",das Feuer,und rennt weg.,0,1,0,3.3,3,6.8
Feuer,21,C,"Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat,",das Feuer,und rennt weg.,0,0,0,6.6,1.5,1.6
Feuer,21,D,"Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist,",das Feuer,und rennt weg.,0,0,0,3.3,3,1.6
Haare,22,A,"Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat,",die Haare,und holt den Föhn.,0,0.92,1,6.5,3.9,6.8
Haare,22,B,"Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat,",die Haare,und holt den Föhn.,0,1,1,1,1,6.8
Haare,22,C,"Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat,",die Haare,und holt den Föhn.,0,0.17,1,6.5,3.9,1.2
Haare,22,D,"Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat,",die Haare,und holt den Föhn.,0,0,1,1,1,1.2
Bleistift,23,A,"Flink spitzte der Zeichner, der die Karikatur entwarf,",den Bleistift,und machte sich wieder an die Arbeit.,0,1,1,6,3.3,6.7
Bleistift,23,B,"Flink spitzte der Zeichner, der den Atlas öffnete,",den Bleistift,und machte sich wieder an die Arbeit.,0,1,1,2.3,1.6,6.7
Bleistift,23,C,"Flink knotete der Zeichner, der die Karikatur entwarf,",den Bleistift,und machte sich wieder an die Arbeit.,0,0,1,6,3.3,1.3
Bleistift,23,D,"Flink knotete der Zeichner, der den Atlas öffnete,",den Bleistift,und machte sich wieder an die Arbeit.,0,0,1,2.3,1.6,1.3
Patienten,24,A,"Heute impft der Arzt, nachdem er die Spritze befüllt hat,",den Patienten,gegen Tetanus.,0,0.25,0,6.7,2,6.5
Patienten,24,B,"Heute impft der Arzt, nachdem er die Schublade geschlossen hat,",den Patienten,gegen Tetanus.,0,0.42,0,2.1,1.3,6.5
Patienten,24,C,"Heute feuert der Arzt, nachdem er die Spritze befüllt hat,",den Patienten,gegen Tetanus.,0,0,0,6.7,2,1.5
Patienten,24,D,"Heute feuert der Arzt, nachdem er die Schublade geschlossen hat,",den Patienten,gegen Tetanus.,0,0,0,2.1,1.3,1.5
Leiche,25,A,"Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat,",die Leiche,in der Leichenhalle.,0,0.75,1,6.6,1.5,7
Leiche,25,B,"Unverzüglich obduziert der Pathologe, nachdem er das Dokument unterschrieben hat,",die Leiche,in der Leichenhalle.,0,0.75,1,2.6,1.2,7
Leiche,25,C,"Unverzüglich pfeffert der Pathologe, nachdem er die Mordakte gelesen hat,",die Leiche,in der Leichenhalle.,0,0,1,6.6,1.5,1.2
Leiche,25,D,"Unverzüglich pfeffert der Pathologe, nachdem er das Dokument unterschrieben hat,",die Leiche,in der Leichenhalle.,0,0,1,2.6,1.2,1.2
Buch,26,A,"Am Nachmittag signiert der Autor, der die Geschichte erfunden hat,",das Buch,für den Fan.,1,1,1,6.7,3.3,6.7
Buch,26,B,"Am Nachmittag signiert der Autor, der den Vorhang zugezogen hat,",das Buch,für den Fan.,1,0.92,1,1.8,1.5,6.7
Buch,26,C,"Am Nachmittag schluckt der Autor, der die Geschichte erfunden hat,",das Buch,für den Fan.,1,0,1,6.7,3.3,1.3
Buch,26,D,"Am Nachmittag schluckt der Autor, der den Vorhang zugezogen hat,",das Buch,für den Fan.,1,0,1,1.8,1.5,1.3
Gäste,27,A,"Sofort begrüßte der Hotelier, der die Koffer stapelte,",die Gäste,und überreichte ihnen die Schlüssel.,2,1,1,4.7,1.4,6.5
Gäste,27,B,"Sofort begrüßte der Hotelier, der die Fische räucherte,",die Gäste,und überreichte ihnen die Schlüssel.,2,0.92,1,1.4,1.6,6.5
Gäste,27,C,"Sofort feuerte der Hotelier, der die Koffer stapelte,",die Gäste,und überreichte ihnen die Schlüssel.,2,0,1,4.7,1.4,1.9
Gäste,27,D,"Sofort feuerte der Hotelier, der die Fische räucherte,",die Gäste,und überreichte ihnen die Schlüssel.,2,0,1,1.4,1.6,1.9
Baum,28,A,"Vorsichtig fällt der Holzarbeiter, der die Säge gestartet hat,",den Baum,neben der Schule.,0,0.92,1,5.9,1.3,7
Baum,28,B,"Vorsichtig fällt der Holzarbeiter, der den Transporter geparkt hat,",den Baum,neben der Schule.,0,0.83,1,2.8,1.9,7
Baum,28,C,"Vorsichtig durchwühlt der Holzarbeiter, der die Säge gestartet hat,",den Baum,neben der Schule.,0,0,1,5.9,1.3,1.3
Baum,28,D,"Vorsichtig durchwühlt der Holzarbeiter, der den Transporter geparkt hat,",den Baum,neben der Schule.,0,0,1,2.8,1.9,1.3
Zigarre,29,A,"Langsam paffte der Kubaner, der den Rauchring blies,",die Zigarre,und schlenderte über den Marktplatz.,2,1,1,6.2,3.2,6.9
Zigarre,29,B,"Langsam paffte der Kubaner, der die Straßenbahn verpasste,",die Zigarre,und schlenderte über den Marktplatz.,2,1,1,2,1.3,6.9
Zigarre,29,C,"Langsam öffnete der Kubaner, der den Rauchring blies,",die Zigarre,und schlenderte über den Marktplatz.,2,0.08,1,6.2,3.2,1.5
Zigarre,29,D,"Langsam öffnete der Kubaner, der die Straßenbahn verpasste,",die Zigarre,und schlenderte über den Marktplatz.,2,0.08,1,2,1.3,1.5
Schnitzel,30,A,"Fröhlich paniert der Koch, nachdem er die Bratkartoffeln geschält hat,",das Schnitzel,für das Gericht.,0,0.58,0,6,1.2,6.5
Schnitzel,30,B,"Fröhlich paniert der Koch, nachdem er die Ärmel hochgekrempelt hat,",das Schnitzel,für das Gericht.,0,0.83,0,1.3,1.5,6.5
Schnitzel,30,C,"Fröhlich baut der Koch, nachdem er die Bratkartoffeln geschält hat,",das Schnitzel,für das Gericht.,0,0,0,6,1.2,1
Schnitzel,30,D,"Fröhlich baut der Koch, nachdem er die Ärmel hochgekrempelt hat,",das Schnitzel,für das Gericht.,0,0,0,1.3,1.5,1
Kuchen,31,A,"Umsichtig glasiert der Konditor, der die Backform eingefettet hat,",den Kuchen,für die Geburtstagsfeier.,1,0.92,0,6.9,5.3,5.9
Kuchen,31,B,"Umsichtig glasiert der Konditor, der den Tisch abgewischt hat,",den Kuchen,für die Geburtstagsfeier.,1,0.42,0,5.4,1.6,5.9
Kuchen,31,C,"Umsichtig durchsucht der Konditor, der die Backform eingefettet hat,",den Kuchen,für die Geburtstagsfeier.,1,0,0,6.9,5.3,1.2
Kuchen,31,D,"Umsichtig durchsucht der Konditor, der den Tisch abgewischt hat,",den Kuchen,für die Geburtstagsfeier.,1,0,0,5.4,1.6,1.2
Kette,32,A,"Gestern ölte der Fahrradfahrer, bevor er die Bremse einstellte,",die Kette,und die Bremsen.,0,0.83,0,4.9,2,6.8
Kette,32,B,"Gestern ölte der Fahrradfahrer, bevor er die Limonade trank,",die Kette,und die Bremsen.,0,0.58,0,1.2,1.1,6.8
Kette,32,C,"Gestern beheizte der Fahrradfahrer, bevor er die Bremse einstellte,",die Kette,und die Bremsen.,0,0,0,4.9,2,1.4
Kette,32,D,"Gestern beheizte der Fahrradfahrer, bevor die Limonade trank,",die Kette,und die Bremsen.,0,0,0,1.2,1.1,1.4
Brief,33,A,"Hastig frankiert der Postbeamte, der das Postamt aufgeschlossen hat,",den Brief,an die Agentur.,0,0.92,1,6.8,1.3,6.6
Brief,33,B,"Hastig frankiert der Postbeamte, der das Mittagessen bestellt hat,",den Brief,an die Agentur.,0,1,1,1.5,3.7,6.6
Brief,33,C,"Hastig umgeht der Postbeamte, der das Postamt aufgeschlossen hat,",den Brief,an die Agentur.,0,0,1,6.8,1.3,2.2
Brief,33,D,"Hastig umgeht der Postbeamte, der das Mittagessen bestellt hat,",den Brief,an die Agentur.,0,0,1,1.5,3.7,2.2
Berg,34,A,"Fröhlich erklimmt der Wanderer, nachdem er das Tal durchquert hat,",den Berg,und stellt sein Zelt auf.,1,0.75,0,6.4,3.2,6.8
Berg,34,B,"Fröhlich erklimmt der Wanderer, nachdem er die Stoppuhr gestartet hat,",den Berg,und stellt sein Zelt auf.,1,0.92,0,1.4,1.5,6.8
Berg,34,C,"Fröhlich kauft der Wanderer, nachdem er das Tal durchquert hat,",den Berg,und stellt sein Zelt auf.,1,0,0,6.4,3.2,1.5
Berg,34,D,"Fröhlich kauft der Wanderer, nachdem er die Stoppuhr gestartet hat,",den Berg,und stellt sein Zelt auf.,1,0,0,1.4,1.5,1.5
Befehl,35,A,"Bedächtig erteilt der General, der die Rekruten kommandiert,",den Befehl,zum Abmarsch.,0,0.92,0,6,7,6.6
Befehl,35,B,"Bedächtig erteilt der General, der die Getränke einschenkt,",den Befehl,zum Abmarsch.,0,0.75,0,1.7,2.4,6.6
Befehl,35,C,"Bedächtig biegt der General, der die Rekruten kommandiert,",den Befehl,zum Abmarsch.,0,0,0,6,7,1.4
Befehl,35,D,"Bedächtig biegt der General, der die Getränke einschenkt,",den Befehl,zum Abmarsch.,0,0,0,1.7,2.4,1.4
Wand,36,A,"Sofort streicht der Maler, nachdem er die Tapete angebracht hat,",die Wand,des Büros.,0,0.5,0,7,5.5,6.4
Wand,36,B,"Sofort streicht der Maler, nachdem er den Hund gefüttert hat,",die Wand,des Büros.,0,0.67,0,1.5,1.3,6.4
Wand,36,C,"Sofort lenkt der Maler, nachdem er die Tapete angebracht hat,",die Wand,des Büros.,0,0.08,0,7,5.5,1.1
Wand,36,D,"Sofort lenkt der Maler, nachdem er den Hund gefüttert hat,",die Wand,des Büros.,0,0,0,1.5,1.3,1.1
Hammer,37,A,"Direkt schwingt der Schmied, der den Amboss aufgestellt hat,",den Hammer,auf das Metall.,0,1,0,6.5,1.9,5.6
Hammer,37,B,"Direkt schwingt der Schmied, der den Stuhl weggestellt hat,",den Hammer,auf das Metall.,0,0.83,0,2.9,3.8,5.6
Hammer,37,C,"Direkt speichert der Schmied, der den Amboss aufgestellt hat,",den Hammer,auf das Metall.,0,0,0,6.5,1.9,1.2
Hammer,37,D,"Direkt speichert der Schmied, der den Stuhl weggestellt hat,",den Hammer,auf das Metall.,0,0,0,2.9,3.8,1.2
Land,38,A,"Vor langer Zeit regierte der König, der die Reise unternahm,",das Land,im Norden.,1,0.33,0,6.6,2.5,7
Land,38,B,"Vor langer Zeit regierte der König, der den Gesang vernahm,",das Land,im Norden.,1,0.5,0,2.4,2.5,7
Land,38,C,"Vor langer Zeit briet der König, der die Reise unternahm,",das Land,im Norden.,1,0,0,6.6,2.5,1.2
Land,38,D,"Vor langer Zeit briet der König, der den Gesang vernahm,",das Land,im Norden.,1,0,0,2.4,2.5,1.2
Stab,39,A,"Zügig hob der Dirigent, der das Tempo wechselte,",den Stab,und gab den Takt an.,0,0.42,1,1.9,1.6,3
Stab,39,B,"Zügig hob der Dirigent, der das Gähnen unterdrückte,",den Stab,und gab den Takt an.,0,0.5,1,1,1.6,3
Stab,39,C,"Zügig verdrückte der Dirigent, der das Tempo wechselte,",den Stab,und gab den Takt an.,0,0,1,1.9,1.6,1.3
Stab,39,D,"Zügig verdrückte der Dirigent, der das Gähnen unterdrückte,",den Stab,und gab den Takt an.,0,0,1,1,1.6,1.3
Bart,40,A,"Direkt trimmt der Herrenfriseur, nachdem er die Klinge ausgepackt hat,",den Bart,des Mannes.,2,0.58,0,5.4,1.3,6.8
Bart,40,B,"Direkt trimmt der Herrenfriseur, nachdem er das Wasserglas abgestellt hat,",den Bart,des Mannes.,2,0.25,0,1.2,1,6.8
Bart,40,C,"Direkt hört der Herrenfriseur, nachdem er die Klinge ausgepackt hat,",den Bart,des Mannes.,2,0,0,5.4,1.3,1.7
Bart,40,D,"Direkt hört der Herrenfriseur, nachdem er das Wasserglas abgestellt hat,",den Bart,des Mannes.,2,0,0,1.2,1,1.7
Geschirr,41,A,"Gestern spülte der Tellerwäscher, bevor er den Tisch wischte,",das Geschirr,und die Brettchen.,0,0.5,1,6.7,4.7,6.9
Geschirr,41,B,"Gestern spülte der Tellerwäscher, bevor er das Taxi rief,",das Geschirr,und die Brettchen.,0,0.42,1,1.2,1.2,6.9
Geschirr,41,C,"Gestern glättete der Tellerwäscher, bevor er den Tisch wischte,",das Geschirr,und die Brettchen.,0,0,1,6.7,4.7,1.1
Geschirr,41,D,"Gestern glättete der Tellerwäscher, bevor er das Taxi rief,",das Geschirr,und die Brettchen.,0,0,1,1.2,1.2,1.1
Schloss,42,A,"Im Handumdrehen knackt der Einbrecher, der den Zahlencode erraten hat,",das Schloss,und stiehlt die Wertsachen.,0,0.25,0,7,1.8,6.4
Schloss,42,B,"Im Handumdrehen knackt der Einbrecher, der die Akte durchblättert hat,",das Schloss,und stiehlt die Wertsachen.,0,0.5,0,2.6,1.5,6.4
Schloss,42,C,"Im Handumdrehen kopiert der Einbrecher, der den Zahlencode erraten hat,",das Schloss,und stiehlt die Wertsachen.,0,0,0,7,1.8,1.6
Schloss,42,D,"Im Handumdrehen kopiert der Einbrecher, der die Akte durchblättert hat,",das Schloss,und stiehlt die Wertsachen.,0,0,0,2.6,1.5,1.6
Zwiebeln,43,A,"Routiniert hackte der Küchengehilfe, bevor er die Suppe umrührte,",die Zwiebeln,und den Knoblauch.,0,0.25,1,5.7,2.3,6.2
Zwiebeln,43,B,"Routiniert hackte der Küchengehilfe, bevor er das Radio einschaltete,",die Zwiebeln,und den Knoblauch.,0,0.33,1,1.3,1.1,6.2
Zwiebeln,43,C,"Routiniert schraubte der Küchengehilfe, bevor er die Suppe umrührte,",die Zwiebeln,und den Knoblauch.,0,0,1,5.7,2.3,1.3
Zwiebeln,43,D,"Routiniert schraubte der Küchengehilfe, bevor er das Radio einschaltete,",die Zwiebeln,und den Knoblauch.,0,0,1,1.3,1.1,1.3
Wachs,44,A,"Umsichtig schmolz der Kerzenzieher, nachdem er den Docht gekürzt hatte,",das Wachs,und fuhr mit der Arbeit fort.,0,0.83,1,6.7,2.3,6.3
Wachs,44,B,"Umsichtig schmolz der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte,",das Wachs,und fuhr mit der Arbeit fort.,0,0.83,1,1.5,1.4,6.3
Wachs,44,C,"Umsichtig würzte der Kerzenzieher, nachdem er den Docht gekürzt hatte,",das Wachs,und fuhr mit der Arbeit fort.,0,0,1,6.7,2.3,1
Wachs,44,D,"Umsichtig würzte der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte,",das Wachs,und fuhr mit der Arbeit fort.,0,0,1,1.5,1.4,1
Cocktail,45,A,"Gestern mixte der Barkeeper, der den Wodka geöffnet hatte,",den Cocktail,für den Touristen.,0,0.5,0,6.2,1.4,6.9
Cocktail,45,B,"Gestern mixte der Barkeeper, der den Boden gefegt hatte,",den Cocktail,für den Touristen.,0,0.83,0,1.3,1,6.9
Cocktail,45,C,"Gestern gründete der Barkeeper, der den Wodka geöffnet hatte,",den Cocktail,für den Touristen.,0,0,0,6.2,1.4,1.6
Cocktail,45,D,"Gestern gründete der Barkeeper, der den Boden gefegt hatte,",den Cocktail,für den Touristen.,0,0.08,0,1.3,1,1.6
